SUB_ID,cohort,model_name,output_type,F1
MWC_144,MWC,ishare_only,Voxel,0.5202833226014166
MWC_17,MWC,ishare_only,Voxel,0.33113874664715925
MWC_19,MWC,ishare_only,Voxel,0.22110397151041264
MWC_23,MWC,ishare_only,Voxel,0.16220130340333092
MWC_25,MWC,ishare_only,Voxel,0.10870515316460726
MWC_27,MWC,ishare_only,Voxel,0.3501238645747316
MWC_29,MWC,ishare_only,Voxel,0.0905762949648173
MWC_2,MWC,ishare_only,Voxel,0.3484234176071069
MWC_35,MWC,ishare_only,Voxel,0.30708898944193064
MWC_37,MWC,ishare_only,Voxel,0.15762195888997912
MWC_39,MWC,ishare_only,Voxel,0.10112714631833984
MWC_41,MWC,ishare_only,Voxel,0.11811684365867069
MWC_49,MWC,ishare_only,Voxel,0.45082938388625593
MWC_4,MWC,ishare_only,Voxel,0.14064611227121976
MWC_50,MWC,ishare_only,Voxel,0.33945729398140906
MWC_52,MWC,ishare_only,Voxel,0.3913449564134496
MWC_53,MWC,ishare_only,Voxel,0.5520661157024793
MWC_55,MWC,ishare_only,Voxel,0.05391014975041598
MWC_56,MWC,ishare_only,Voxel,0.16669397564039545
MWC_58,MWC,ishare_only,Voxel,0.1278538812785388
MWC_59,MWC,ishare_only,Voxel,0.11835761589403972
MWC_60,MWC,ishare_only,Voxel,0.03866014714618654
MWC_61,MWC,ishare_only,Voxel,0.03512549626539264
MWC_63,MWC,ishare_only,Voxel,0.06201299576693898
MWC_64,MWC,ishare_only,Voxel,0.08254634487583071
MWC_65,MWC,ishare_only,Voxel,0.0908953035741368
MWC_66,MWC,ishare_only,Voxel,0.24425307807273505
MWC_67,MWC,ishare_only,Voxel,0.06374523829099181
MWC_68,MWC,ishare_only,Voxel,0.10114552832999436
MWC_69,MWC,ishare_only,Voxel,0.04465321912130422
MWC_6,MWC,ishare_only,Voxel,0.180490349504434
MWC_8,MWC,ishare_only,Voxel,0.4615384615384616
MRS_47,MRi-Share,base,Voxel,0.4608294930875576
MRS_15,MRi-Share,base,Voxel,0.526813880126183
MRS_44,MRi-Share,base,Voxel,0.4329411764705882
MRS_32,MRi-Share,base,Voxel,0.2968988307066599
MRS_27,MRi-Share,base,Voxel,0.1939799331103679
MRS_20,MRi-Share,base,Voxel,0
MRS_6,MRi-Share,base,Voxel,0.231578947368421
MWC_61,MWC,base,Voxel,0.8041916377527775
MWC_49,MWC,base,Voxel,0.7885959415819155
MWC_27,MWC,base,Voxel,0.2989130434782608
MWC_102,MWC,base,Voxel,0.5735257526747948
MWC_101,MWC,base,Voxel,0.5598186822081916
MWC_69,MWC,base,Voxel,0.8215824076173204
MWC_67,MWC,base,Voxel,0.7485309676894278
MWC_65,MWC,base,Voxel,0.7109302084413565
MRS_47,MRi-Share,base,Cluster,0.6666666666666666
MRS_15,MRi-Share,base,Cluster,0.3636363636363636
MRS_44,MRi-Share,base,Cluster,0.3333333333333333
MRS_32,MRi-Share,base,Cluster,0.4035087719298245
MRS_27,MRi-Share,base,Cluster,0.303030303030303
MRS_20,MRi-Share,base,Cluster,0
MRS_6,MRi-Share,base,Cluster,0.4
MWC_61,MWC,base,Cluster,0.5230769230769231
MWC_49,MWC,base,Cluster,0.5955056179775281
MWC_27,MWC,base,Cluster,0.64
MWC_102,MWC,base,Cluster,0.7677725118483413
MWC_101,MWC,base,Cluster,0.71698113207547165
MWC_69,MWC,base,Cluster,0.6666666666666666
MWC_67,MWC,base,Cluster,0.5517241379310345
MWC_65,MWC,base,Cluster,0.6212121212121212
MRS_46,MRi-Share,base,Voxel,0.3595505617977528
MRS_38,MRi-Share,base,Voxel,0.4396551724137931
MRS_31,MRi-Share,base,Voxel,0
MRS_22,MRi-Share,base,Voxel,0.419672131147541
MRS_5,MRi-Share,base,Voxel,0.2
MRS_2,MRi-Share,base,Voxel,0.2748815165876777
MWC_60,MWC,base,Voxel,0.8574275782155272
MWC_53,MWC,base,Voxel,0.4828571428571429
MWC_4,MWC,base,Voxel,0.7977072310405644
MWC_29,MWC,base,Voxel,0.8492716630726577
MWC_19,MWC,base,Voxel,0.5272557739205279
MWC_126,MWC,base,Voxel,0.5857663518438688
MWC_11,MWC,base,Voxel,0.4385052034058657
MWC_106,MWC,base,Voxel,0.6694677871148459
MWC_8,MWC,base,Voxel,0.4363341443633414
MRS_46,MRi-Share,base,Cluster,0.4
MRS_38,MRi-Share,base,Cluster,0.1818181818181818
MRS_31,MRi-Share,base,Cluster,0
MRS_22,MRi-Share,base,Cluster,0.5333333333333333
MRS_5,MRi-Share,base,Cluster,0.3333333333333333
MRS_2,MRi-Share,base,Cluster,0.2666666666666666
MWC_60,MWC,base,Cluster,0.6268656716417911
MWC_53,MWC,base,Cluster,0.5333333333333333
MWC_4,MWC,base,Cluster,0.4705882352941176
MWC_29,MWC,base,Cluster,0.5423728813559322
MWC_19,MWC,base,Cluster,0.4954128440366973
MWC_126,MWC,base,Cluster,0.7936507936507936
MWC_11,MWC,base,Cluster,0.6222222222222222
MWC_106,MWC,base,Cluster,0.6896551724137931
MWC_8,MWC,base,Cluster,0.3611111111111111
MRS_37,MRi-Share,base,Voxel,0.7223168654173765
MRS_33,MRi-Share,base,Voxel,0.5521472392638037
MRS_29,MRi-Share,base,Voxel,0.3584229390681003
MRS_21,MRi-Share,base,Voxel,0.0727272727272727
MRS_12,MRi-Share,base,Voxel,0.0869565217391304
MRS_10,MRi-Share,base,Voxel,0.0212765957446808
MRS_4,MRi-Share,base,Voxel,0.7
MWC_41,MWC,base,Voxel,0.8590365944734877
MWC_35,MWC,base,Voxel,0.628327473631341
MWC_115,MWC,base,Voxel,0.6621564482029598
MWC_114,MWC,base,Voxel,0.7652525029039217
