SUB_ID,cohort,methods,output_type,precision,sensitivity,F1,HD95,total_pred_vol,total_raw_truth_vol
UKB_11,UKB,enh270_mono,Voxel,0.9101941747572816,0.539568345323741,0.6775067750677507,3,412,695
UKB_1,UKB,enh270_mono,Cluster,0.6666666666666666,0.2857142857142857,0.4,NA,NA,NA
UKB_2,UKB,enh270_mono,Cluster,0.8524590163934426,0.6842105263157895,0.7591240875912408,NA,NA,NA
UKB_3,UKB,enh270_mono,Cluster,0.9523809523809524,0.5769230769230769,0.718562874251497,NA,NA,NA
UKB_4,UKB,enh270_mono,Cluster,0.75,0.5,0.6,NA,NA,NA
UKB_5,UKB,enh270_mono,Cluster,0.9473684210526316,0.6428571428571429,0.7659574468085106,NA,NA,NA
UKB_6,UKB,enh270_mono,Cluster,0.9278350515463918,0.569620253164557,0.7058823529411765,NA,NA,NA
UKB_7,UKB,enh270_mono,Cluster,0.9230769230769232,0.631578947368421,0.75,NA,NA,NA
UKB_8,UKB,enh270_mono,Cluster,1,0.6280487804878049,0.7715355805243446,NA,NA,NA
UKB_9,UKB,enh270_mono,Cluster,1,0.8333333333333334,0.9090909090909092,NA,NA,NA
UKB_10,UKB,enh270_mono,Cluster,0.8823529411764706,0.7954545454545454,0.8366533864541833,NA,NA,NA
UKB_11,UKB,enh270_mono,Cluster,0.8571428571428571,0.6428571428571429,0.7346938775510204,NA,NA,NA
MWC_132,MWC,enh270_mono,Voxel,0.8727542595627571,0.677858635348368,0.7630582891748675,7,32339,43528.62387800217
MWC_31,MWC,enh270_mono,Voxel,0.8863238578067475,0.8832320923798641,0.8847752741294131,1,66276,67968.27358531952
MWC_100,MWC,enh270_mono,Voxel,0.6780031821797932,0.6628426988139219,0.6703372333103923,1.7320508075688772,5028,6272.115741729736
MWC_21,MWC,enh270_mono,Voxel,0.6301080461157723,0.8928708891074713,0.7388219473786648,2,33134,24854.748713493347
MWC_109,MWC,enh270_mono,Voxel,0.6650141643059491,0.6268357810413885,0.6453608247422681,2,1412,1926.6364498138428
MWC_33,MWC,enh270_mono,Voxel,0.5162314749470712,0.847870182555781,0.6417370325693607,2.449489742783178,5668,3945.460609436035
